Date Timed DHT22, Temperature DHT22
2020-08-22 19:53:31,30.3
2020-08-22 19:47:37,31.4
2020-08-22 19:37:37,32.0
2020-08-22 19:27:37,31.8
2020-08-22 19:18:44,31.8
2020-08-22 19:08:44,31.9
2020-08-22 18:58:45,30.9
2020-08-22 18:48:44,30.5
2020-08-22 18:40:10,30.0
2020-08-22 18:30:10,30.1
2020-08-22 18:20:54,29.8
2020-08-22 18:16:55,29.7
2020-08-22 18:06:55,30.0
2020-08-22 17:56:55,29.7
2020-08-22 17:53:58,29.7
2020-08-22 17:43:57,30.1
2020-08-22 17:33:58,31.0
2020-08-22 17:23:58,31.1
2020-08-22 17:17:58,30.7
2020-08-22 17:07:58,30.2
2020-08-22 16:58:29,31.1
2020-08-22 16:48:29,31.5
2020-08-22 16:38:28,31.2
2020-08-22 16:28:29,31.5
2020-08-22 16:18:29,32.1
2020-08-22 16:17:09,32.1
2020-08-22 16:07:08,32.0
2020-08-22 15:57:11,31.4
2020-08-22 15:47:09,32.1
2020-08-22 15:41:14,32.1
2020-08-22 15:31:14,32.1
2020-08-22 15:21:13,32.0
2020-08-22 15:11:13,32.3
2020-08-22 15:01:13,32.8
2020-08-22 14:51:13,32.8
2020-08-22 14:41:13,33.0
2020-08-22 14:31:13,33.2
2020-08-22 14:21:16,33.3
2020-08-22 14:11:13,33.8
2020-08-22 14:01:13,34.0
2020-08-22 13:51:13,34.1
2020-08-22 13:41:13,34.5
2020-08-22 13:31:13,34.5
2020-08-22 13:21:13,34.7
2020-08-22 13:11:13,34.9
2020-08-22 13:01:13,35.0
2020-08-22 12:51:14,35.0
2020-08-22 12:41:13,35.2
2020-08-22 12:31:13,35.1
2020-08-22 12:21:37,34.9
2020-08-22 12:11:13,34.9
2020-08-22 12:01:14,35.2
2020-08-22 11:52:01,35.0
2020-08-22 11:41:13,34.6
2020-08-22 11:31:13,34.9
2020-08-22 11:21:13,35.2
2020-08-22 11:13:37,35.1
2020-08-22 11:03:38,35.1
2020-08-22 10:53:38,35.1
2020-08-22 10:51:30,34.9
2020-08-22 10:45:30,34.5
2020-08-22 10:35:29,33.9
2020-08-22 10:25:29,34.1
2020-08-22 10:15:29,34.9
2020-08-22 10:05:29,34.8
2020-08-22 09:55:31,34.8
2020-08-22 09:45:29,34.6
2020-08-22 09:38:43,34.7
2020-08-22 09:28:43,34.3
2020-08-22 09:18:43,33.9
2020-08-22 09:08:43,33.5
2020-08-22 08:58:43,33.1
2020-08-22 08:48:43,32.3
2020-08-22 08:38:43,32.2
2020-08-22 08:28:43,32.2
2020-08-22 08:22:41,31.6
2020-08-22 08:12:40,31.3
2020-08-22 08:02:42,31.1
2020-08-22 07:52:40,31.9
2020-08-22 07:42:40,30.5
2020-08-22 07:32:40,30.2
2020-08-22 07:22:44,29.9
2020-08-22 07:12:40,29.8
2020-08-22 07:02:40,29.6
2020-08-22 06:56:58,28.5
2020-08-22 06:46:56,29.5
2020-08-22 06:36:55,29.5
2020-08-22 06:26:54,29.5
2020-08-22 06:16:56,29.6
2020-08-22 06:06:54,29.7
2020-08-22 05:57:46,29.5
2020-08-22 05:47:45,29.7
2020-08-22 05:38:09,29.6
2020-08-22 05:27:46,29.5
2020-08-22 05:17:45,29.9
2020-08-22 05:07:46,29.7
2020-08-22 05:00:20,29.8
2020-08-22 04:50:19,29.8
2020-08-22 04:40:21,29.9
2020-08-22 04:30:19,30.0
2020-08-22 04:20:20,30.6
2020-08-22 04:10:19,30.1
2020-08-22 04:00:20,30.1
2020-08-22 03:50:20,29.9
2020-08-22 03:40:20,30.1
2020-08-22 03:30:19,30.3
2020-08-22 03:20:21,30.2
2020-08-22 03:10:21,30.2
2020-08-22 03:00:19,30.2
2020-08-22 02:50:19,30.1
2020-08-22 02:41:26,30.1
2020-08-22 02:31:25,30.0
2020-08-22 02:21:26,30.1
2020-08-22 02:11:25,29.5
2020-08-22 02:01:25,29.9
2020-08-22 02:01:00,29.6
2020-08-22 01:51:00,29.3
2020-08-22 01:41:00,29.5
2020-08-22 01:39:16,29.6
2020-08-22 01:28:52,29.5
2020-08-22 01:19:40,29.6
2020-08-22 01:08:52,30.2
2020-08-22 00:58:52,30.4
2020-08-22 00:48:52,30.4
2020-08-22 00:38:52,30.8
2020-08-22 00:31:07,31.3
2020-08-22 00:18:49,31.1
2020-08-22 00:18:17,31.2
2020-08-22 00:08:17,31.0
2020-08-21 23:58:17,30.7
2020-08-21 23:50:22,30.6
2020-08-21 23:38:30,30.0
2020-08-21 23:38:19,30.0
2020-08-21 23:28:15,30.2
2020-08-21 23:18:14,31.2
2020-08-21 23:08:14,31.6
2020-08-21 22:58:14,31.4
2020-08-21 22:52:15,31.4
2020-08-21 22:42:39,31.0
2020-08-21 22:32:37,30.8
2020-08-21 22:22:13,31.9
2020-08-21 22:12:13,31.9
2020-08-21 22:02:14,32.0
2020-08-21 21:52:13,32.0
2020-08-21 21:42:13,31.8
2020-08-21 21:32:13,31.9
2020-08-21 21:22:14,31.7
2020-08-21 21:12:16,31.8
2020-08-21 21:02:13,31.7
2020-08-21 20:52:13,31.9
2020-08-21 20:42:13,32.0
2020-08-21 20:32:14,32.9
2020-08-21 20:22:37,32.8
2020-08-21 20:13:01,32.7
2020-08-21 20:11:47,32.6
2020-08-21 20:01:46,32.5
2020-08-21 19:57:45,32.4
2020-08-21 19:46:27,32.5
2020-08-21 19:36:52,32.5
2020-08-21 19:26:27,32.2
